"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
-1.086791664E-3,1.546567585E-2,-1.596708968E-2,1.786669251E-3,2.230083562E-2
8.920208333E-3,2.772517502E-3,-1.456120797E-2,-4.892679863E-4,1.483088041E-2
1.892820834E-2,7.464741357E-3,3.915537149E-3,9.320611134E-4,8.480715336E-3
2.893520833E-2,7.896705531E-3,-5.052125081E-3,1.383999363E-3,9.476147968E-3
3.894320833E-2,7.652227767E-3,-9.828149341E-4,-1.840698533E-4,7.717279100E-3
4.895020834E-2,7.902830839E-3,6.515670102E-4,2.071484923E-4,7.932350556E-3
5.895820833E-2,6.622649729E-3,-2.268056385E-3,-5.377375055E-4,7.020878209E-3
6.896520834E-2,5.021557212E-3,1.019083196E-3,-2.578392159E-4,5.130404317E-3
7.897320834E-2,3.748832271E-3,-1.894947607E-3,-1.509791240E-3,4.463635224E-3
8.898020833E-2,4.273741506E-3,-5.953249056E-4,3.554867581E-4,4.329624584E-3
9.898820834E-2,3.080645343E-3,-7.324777544E-4,-5.308133550E-4,3.210710546E-3
1.089952083E-1,3.861484118E-3,-2.220119350E-3,2.498831600E-5,4.454280406E-3
1.190032083E-1,4.432732239E-3,-9.721622337E-4,4.176632501E-5,4.538277089E-3
1.290102083E-1,5.192798562E-3,-5.356702022E-4,8.228714578E-4,5.284810017E-3
1.390182083E-1,4.357897211E-3,-1.924508600E-3,1.427409239E-3,4.973177917E-3
1.490252083E-1,4.604505841E-3,-4.866679665E-4,1.407168806E-3,4.839260666E-3
1.590332083E-1,5.056444556E-3,-5.638997536E-4,-3.622351214E-4,5.100669442E-3
1.690402083E-1,2.190883271E-3,-6.869377103E-4,-6.289593875E-5,2.296912890E-3
1.790482083E-1,1.823100611E-3,1.106168842E-3,-6.341440603E-4,2.224734598E-3
1.890552083E-1,-8.239108138E-5,-1.291475259E-3,-1.784770284E-4,1.306350138E-3
1.990622083E-1,-2.394281328E-3,-5.383333191E-4,1.142184250E-3,2.706837768E-3
2.090702083E-1,-2.334360033E-3,4.299918655E-4,-1.087946584E-3,2.611083595E-3
2.190772083E-1,-5.092862062E-3,-4.507151898E-4,-1.784629654E-3,5.415283111E-3
2.290852083E-1,-4.331464414E-3,-6.334080826E-4,-1.123058610E-5,4.377546789E-3
2.390922083E-1,-1.375355874E-3,-1.147131901E-3,-8.930033073E-4,2.001242186E-3
2.491002083E-1,-2.268047072E-3,-1.702401089E-3,1.230867580E-3,3.091478932E-3
2.591072083E-1,9.124702774E-5,4.789943341E-4,3.086151555E-4,5.770657730E-4
2.691152083E-1,1.030810177E-3,5.839227233E-4,1.662832219E-3,2.041701829E-3
2.791222083E-1,6.015086547E-4,-4.557752982E-4,2.281875350E-4,7.884245907E-4
2.891302083E-1,4.837010056E-5,4.502322990E-4,-6.129802205E-5,4.569532112E-4
2.991372083E-1,1.342932694E-3,4.196958616E-5,-9.478642605E-4,1.644285961E-3
3.091452083E-1,2.490755171E-3,-1.565514598E-3,5.443049595E-4,2.991816366E-3
3.191522083E-1,-6.520411698E-4,1.142920228E-3,4.098149948E-4,1.378177298E-3
3.291602083E-1,-3.093094565E-3,-1.288812142E-3,-6.256217603E-4,3.408764191E-3
3.391672083E-1,-2.745019272E-3,5.722048227E-4,-4.759521689E-4,2.844130734E-3
3.491752083E-1,-4.790327046E-3,-4.102352541E-4,-4.980564117E-4,4.833589387E-3
3.591822083E-1,-4.017477855E-3,1.250600908E-4,-1.143606612E-3,4.178947765E-3
3.691902083E-1,-4.119210411E-3,3.722014371E-4,5.363151431E-4,4.170618929E-3
3.791972083E-1,-5.182877183E-3,9.485094342E-4,-1.181956148E-3,5.399898738E-3
3.892052083E-1,-4.688061774E-3,-1.246467931E-3,-1.554266084E-3,5.093853999E-3
3.992122083E-1,-2.544217277E-3,-9.962124750E-6,1.413294114E-3,2.910419394E-3
4.092202083E-1,-6.140550133E-3,5.490353797E-4,-1.059983391E-3,6.255506420E-3
4.192272083E-1,-6.430301350E-3,1.904317876E-3,-1.382758608E-3,6.847424581E-3
4.292352083E-1,-5.222025327E-3,6.094889250E-4,-1.659602858E-4,5.260092023E-3
4.392422083E-1,-7.032708731E-3,-8.091768250E-4,-1.248535234E-3,7.188365562E-3
4.492502083E-1,-7.286774460E-3,-8.187640924E-4,-2.278113272E-3,7.678362895E-3
4.592572083E-1,-5.358645692E-3,6.121525075E-4,2.203986980E-3,5.826437416E-3
4.692642083E-1,-6.417785306E-3,-1.466711285E-3,1.376401633E-4,6.584690960E-3
4.792722083E-1,-6.067312788E-3,-6.142333150E-4,2.058171667E-4,6.101797091E-3
4.892792083E-1,-5.149321165E-3,2.683380153E-4,-9.872792289E-4,5.249974669E-3
4.992872083E-1,-2.445946448E-3,5.905807484E-4,-1.027226448E-3,2.717836239E-3
5.092942083E-1,-1.899465802E-3,-9.386064485E-4,-5.597178824E-5,2.119453996E-3
5.193022083E-1,-1.967110205E-3,1.476614503E-3,9.717419744E-4,2.644654120E-3
5.293092083E-1,-4.568315344E-4,-2.786749974E-4,-3.140319604E-4,6.204602140E-4
5.393172083E-1,1.099253539E-3,7.586262655E-4,-6.234913599E-4,1.473978843E-3
5.493242083E-1,1.712845755E-3,8.121558931E-4,-1.006986480E-3,2.146499370E-3
5.593322083E-1,2.208193764E-3,1.253175316E-3,-1.191010932E-3,2.804474124E-3
5.693392083E-1,5.719475448E-4,-1.934538595E-4,2.367096022E-4,6.485212607E-4
5.793472083E-1,2.295012819E-3,1.110163284E-3,1.741251908E-4,2.555360236E-3
5.893542083E-1,1.131211407E-3,1.352244755E-3,-1.806076616E-4,1.772237076E-3
5.993622083E-1,2.051333431E-3,3.200036008E-4,-1.867329702E-4,2.084524011E-3
6.093692083E-1,6.792729255E-4,1.115755877E-3,3.443015739E-4,1.350876181E-3
6.193772083E-1,-1.369857928E-4,8.241396863E-4,1.251107547E-3,1.504407334E-3
6.293842083E-1,-9.231510339E-4,1.141412649E-4,6.227265112E-5,9.322628078E-4
6.393922083E-1,-2.168977633E-3,-5.183594767E-4,-4.913986195E-4,2.283557121E-3
6.493992083E-1,-4.309989745E-4,-1.165507827E-3,-2.535781823E-4,1.268254905E-3
6.594072083E-1,-7.077014307E-4,1.034529647E-3,-6.751567125E-4,1.423702740E-3
6.694142083E-1,-1.014763839E-3,-1.483222935E-3,-5.992564838E-4,1.894413961E-3
6.794222083E-1,-2.844621427E-3,5.381165538E-4,4.942375235E-4,2.936956115E-3
6.894292083E-1,-9.319394594E-4,1.325171907E-4,8.215396665E-4,1.249399610E-3
6.994372083E-1,-8.629636141E-4,-3.828047775E-4,1.930338331E-4,9.635910738E-4
7.094442083E-1,2.353240270E-4,-8.669674862E-4,-1.193407690E-3,1.493730878E-3
7.194522083E-1,-6.344796857E-4,-9.890086949E-4,1.321618911E-4,1.182442149E-3
7.294592083E-1,-1.032355824E-3,-3.210878931E-4,9.478882421E-4,1.437827563E-3
7.394672083E-1,-1.178263919E-4,-1.194865908E-4,-6.476116832E-4,6.689999972E-4
7.494742083E-1,-1.067775884E-3,-9.216305334E-4,6.531644613E-5,1.412024935E-3
7.594822083E-1,-7.465988165E-4,-4.944596440E-4,6.645277608E-4,1.115122091E-3
7.694892083E-1,2.558151027E-4,1.060832292E-4,9.148649406E-4,9.558623739E-4
7.794962083E-1,4.025552189E-4,-9.634422604E-4,5.976825487E-4,1.203119330E-3
7.895042083E-1,2.048921306E-3,-4.624971189E-5,-2.196417190E-4,2.061179283E-3
7.995117083E-1,3.056661692E-3,-1.164510846E-3,9.542794432E-4,3.407332602E-3
8.095197083E-1,3.027366940E-3,3.343159333E-4,1.195561839E-3,3.272015563E-3
8.195267083E-1,2.491006162E-3,1.891739666E-4,-9.181888308E-4,2.661572696E-3
8.295347083E-1,3.062787000E-3,-8.364093956E-4,-2.199701965E-3,3.862503543E-3
8.395417083E-1,1.643055701E-3,-1.639618771E-3,-1.782917418E-3,2.926905579E-3
8.495497083E-1,-1.343380427E-4,1.422749832E-3,3.667862620E-4,1.475396881E-3
8.595567083E-1,-2.142095007E-3,-1.082219183E-3,1.651228638E-3,2.913129828E-3
8.695647083E-1,-2.744768281E-3,-5.181618035E-4,-4.659842234E-4,2.831852020E-3
8.795717083E-1,-4.207110032E-3,4.341844469E-4,1.428143587E-4,4.231865652E-3
8.895797083E-1,-3.862496931E-3,2.773245797E-4,1.041365089E-3,4.010016548E-3
8.995867083E-1,-3.271807916E-3,-1.001259079E-3,3.124575596E-4,3.435822538E-3
9.095947083E-1,-2.907221206E-3,-1.079556067E-3,-4.223084543E-4,3.129811635E-3
9.196017083E-1,-5.015878705E-4,-1.405254006E-4,-3.293640912E-4,6.162941543E-4
9.296097083E-1,-1.615854562E-3,-1.542946091E-3,5.386490375E-5,2.234853470E-3
9.396167083E-1,-1.069906517E-3,-1.288075000E-4,8.475757204E-5,1.080960301E-3
9.496247083E-1,3.106761724E-4,-1.327496488E-3,1.056278823E-3,1.724671436E-3
9.596317083E-1,1.669420977E-3,-3.905897029E-5,-1.443364192E-3,2.207213672E-3
9.696397083E-1,7.608439773E-6,-7.794122212E-5,-2.183456905E-3,2.184860815E-3
9.796467083E-1,4.025552189E-4,8.235387504E-4,3.121916670E-4,9.683648149E-4
9.896547083E-1,6.571534323E-4,8.797366172E-5,-8.248910308E-5,6.681275708E-4
9.996617083E-1,8.006978314E-4,7.833251730E-4,-1.897433307E-3,2.203399305E-3
1.009669708E0,9.764664574E-4,-1.762118191E-4,-7.083318196E-4,1.219127276E-3
1.019676708E0,3.892394016E-4,-2.957878169E-4,1.631787745E-3,1.703446210E-3
1.029684708E0,8.971042698E-4,-6.035901606E-6,3.715797793E-4,9.710324585E-4
1.039691708E0,-6.579154870E-4,-2.214855049E-4,-1.145090209E-3,1.339081851E-3
1.049699708E0,2.363973297E-3,9.037042037E-5,3.561337944E-4,2.392356128E-3
1.059706708E0,1.453971257E-3,1.412369311E-4,6.743811537E-4,1.608965577E-3
1.069714708E0,2.638045698E-4,1.056299079E-3,1.113536535E-3,1.557345244E-3
1.079721708E0,1.891794964E-3,-5.977903493E-4,-1.040960662E-3,2.240500075E-3
1.089729708E0,6.768608000E-4,1.220616046E-3,2.778365742E-4,1.423108301E-3
1.099736708E0,-6.920039887E-4,-1.345339464E-3,-1.298931893E-4,1.518446586E-3
1.109743708E0,-1.082157134E-3,4.701372236E-4,-1.602088800E-3,1.989668715E-3
1.119751708E0,-1.698146225E-3,4.989048466E-5,1.683805604E-4,1.707202880E-3
1.129758708E0,-1.416117535E-3,-1.514982898E-3,-4.520476796E-5,2.074272288E-3
1.139766708E0,-1.958337147E-3,-1.000460237E-3,9.585407097E-4,2.398917539E-3
1.149773708E0,-2.554618753E-3,-5.125692114E-4,2.072628122E-4,2.613763961E-3
1.159781708E0,-8.139767451E-4,-8.675684221E-4,-2.063259017E-4,1.207395331E-3
1.169788708E0,-2.555119572E-4,-1.192740398E-3,-1.054010121E-3,1.612095950E-3
1.179796708E0,6.885787006E-4,-9.232284501E-4,5.217820872E-4,1.264416049E-3
1.189803708E0,7.626146544E-4,1.521557570E-4,-3.346903250E-4,8.466109491E-4
1.199811708E0,8.473031921E-4,4.059551284E-4,9.135331493E-4,1.310444612E-3
1.209818708E0,7.085524267E-4,5.572228692E-4,1.225655666E-3,1.521438687E-3
1.219826708E0,2.430552384E-3,1.531939488E-3,1.315404428E-3,3.159859537E-3
1.229833708E0,2.113636117E-3,2.741287462E-4,2.639882732E-4,2.147625204E-3
1.239841708E0,1.313888934E-3,1.021678094E-3,1.263029408E-4,1.669156281E-3
1.249848708E0,-2.653655829E-4,1.106103882E-4,-1.185570378E-3,1.219930601E-3
1.259856708E0,8.137472905E-4,3.806552850E-4,1.047311816E-4,9.044621160E-4
1.269863708E0,4.981626989E-4,9.676674381E-6,7.410487160E-5,5.037372774E-4
1.279871708E0,-1.328233047E-3,-3.714216873E-4,1.926154364E-4,1.392572370E-3
1.289878708E0,4.329152871E-4,7.396494038E-4,-2.875523642E-4,9.039818851E-4
1.299886708E0,-2.477120608E-3,-7.695641834E-4,9.015488904E-4,2.746114699E-3
1.309893708E0,-1.459526946E-3,-3.106426448E-6,4.634589422E-4,1.531346710E-3
1.319901708E0,-1.172970864E-3,-1.166907838E-3,-1.376252621E-3,2.152116592E-3
1.329908708E0,-4.129047738E-4,-4.166953731E-4,-1.075049164E-3,1.224686119E-3
1.339916708E0,-1.626240904E-3,-1.121367794E-3,2.418837976E-4,1.990133910E-3
1.349923708E0,-1.482962747E-3,-3.586336970E-5,3.268390428E-4,1.518976119E-3
1.359931708E0,-3.399340203E-4,-6.382702850E-4,-8.891604375E-4,1.146102255E-3
1.369938708E0,2.918008249E-5,-1.012444496E-3,-4.458473995E-6,1.012874727E-3
1.379946708E0,1.293478999E-5,8.168807253E-4,7.356342394E-4,1.099372167E-3
1.389953708E0,-6.917376304E-4,4.922416992E-4,-2.047279850E-4,8.733363542E-4
1.399961708E0,1.919225440E-3,1.542059705E-3,1.089922152E-4,2.464397234E-3
1.409968708E0,1.543486724E-4,-1.945877448E-4,-9.845015593E-4,1.015347834E-3
1.419975708E0,-1.652307110E-4,-7.541177329E-4,2.240410540E-4,8.038589035E-4
